,0
121,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_CLAROMOBILE_EVENINGME_CPM-CLAROMOBILE
122,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPCV-ADMAZING
123,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SPOTIFY_EVENINGME_CPCV-SPOTIFY
124,MCMPR_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_TIGOMOBILE_EVENINGME_CPM-TIGOMOBILE
125,MCMPR_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_CLAROMOBILE_EVENINGME_CPM-CLAROMOBILE
126,MCMPR_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPCV-ADMAZING
127,MCMPR_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SPOTIFY_EVENINGME_CPCV-SPOTIFY
128,MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SIZMEK_EVENINGME_CPV-CONNECTEDTV
129,MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SPOTIFY_EVENINGME_CPCV-SPOTIFY
130,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPM-TAPTAP-DISPLAY-RICHMEDIA
131,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY-STANDARDBANNER
132,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPV-SPOTIFY-DISPLAY-SPONSOREDPLAYLIST
133,MCMCO_2020_COL_KELLOGGS_CHOCOKRISPIS_SEASONAL_EXPERIENCIACHOCOKRISPIS_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-DISPLAY-VIDEO
134,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-TAPTAP-DISPLAY-RICHMEDIA
135,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY
136,MCMCO_2020_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_INSERTOS2_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO
137,MCMCO_2020_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-DUNNHUMBY-DISPLAY
138,MCMCO_2020_COL_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_FAMILYBREAKFAST_CPM-TAPTAP-DISPLAY-RICHMEDIA
139,MCMCO_2020_COL_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPSJUMBO_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-DISPLAY
140,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_HEALTYKIDS_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS–DISPLAY
141,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPC-TAPTAP-DISPLAY-STANDARBANNER
142,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPM-TAPTAP-DISPLAY-RICHMEDIA
143,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPM-TAPTAP-DISPLAY-STANDARBANNER
144,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPM-XAXIS-DISPLAY
145,MCMCO_2020_COL_KELLOGGS_PRINGLES_SEASONAL_ARMALARUMBA_SIZMEK_EVENINGME_CPV-XAXIS-VIDEO
