Start Date,End Date,Month,Brand,Region,Country,Campaign,Platform,Touchpoint,Format,Goal,Investment,Reach,Impressions,CPM,Clicks,CPC,CTR,Views,CPV,VTR,CR,Complete Views,CPCV,Engagement,Sales Price,Sales Quantity,Insertions,File,Buy Type,CPM USD,CPC USD,CPV USD,Unnamed: 28,Unnamed: 29,Unnamed: 30
2020-08-03,2020-08-31 00:00:00,August,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,19880.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-10,2020-08-31 00:00:00,August,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,15128.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-17,2020-08-31 00:00:00,August,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,14866.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-24,2020-08-31 00:00:00,August,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,16061.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-03,2020-08-31 00:00:00,August,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,300.0,,2645.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-10,2020-08-31 00:00:00,August,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,300.0,,20295.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-17,2020-08-31 00:00:00,August,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,300.0,,29533.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-24,2020-08-31 00:00:00,August,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,300.0,,83075.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-03,2020-08-31 00:00:00,August,Pringles,Caricam,República Dominicana,MCMPR_2020_DOM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,19799.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-10,2020-08-31 00:00:00,August,Pringles,Caricam,República Dominicana,MCMPR_2020_DOM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,15116.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-17,2020-08-31 00:00:00,August,Pringles,Caricam,República Dominicana,MCMPR_2020_DOM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,14954.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-24,2020-08-31 00:00:00,August,Pringles,Caricam,República Dominicana,MCMPR_2020_DOM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,15886.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
