"Mediaplan","Mediaplan Placement","Campaign Name","Buying unit","Planned Costs ($)","Costs ($)","Target value","Current value","Current delivery (%)","Delivery status"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Facebook and Instagram-CO","MCMMIA_2021_COL_KELLOGGS_MASTERBRAND_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","Impressions","","$ 300.00","771,987","1,415,366","183 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-PR","MCMMIA_2021_PRI_KELLOGGS_FROOTLOOPS_SEASONAL_GOOGLE_YOUTUBE_FROOTLOOPS_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","Video Views","","$ 6,999.85","1,500,000.00","2,828,770.00","189 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPM_EVENINGME","Impressions","","$ 2,233.44","571,429","1,129,538","198 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Instagram-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_INSTAGRAM_REACH_CPM_BREAKFASTFORONE","Impressions","","$ 5,725.14","7,500,000","14,888,162","199 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-PA","MCMMIA_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPM_FAMILYBREAKFAST","Impressions","","$ 719.50","360,000","716,648","199 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Youtube-CO","MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_ALWAYSON_AFFINITYAUDIENCES_CPM_EVENINGME","Impressions","","$ 2,658.58","2,750,439","5,500,878","200 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Youtube-CO","MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPM_BREAKFASTFORONE","Impressions","","$ 1,719.07","1,518,291","3,036,582","200 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Cornershop-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP","Impressions","","$ 23,377.86","240,000","480,294","200 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPC_EVENINGME","Clicks","","$ 1,999.29","1,667","3,358","201 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CEREALDAY_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 2,400.00","2,857,143","5,899,594","206 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Audio-PR","MCMPR_2021_PRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_365BOWLS_AUDIO_BREAKFASTFORONE_CPM-AUDIO","Impressions","","$ 5,167.12","270,270","558,608","207 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-PA","MCMMIA_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","Video Views","","$ 3,495.66","700,000.00","1,494,456.00","213 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-PA","MCMMIA_2021_PAN_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CEREALDAY_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 1,800.00","2,045,455","4,402,230","215 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-PA","MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPM_EVENINGME","Impressions","","$ 2,053.66","466,434","1,026,920","220 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPM_EVENINGME","Impressions","","$ 2,242.35","474,286","1,087,032","229 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CEREALDAY_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 11,000.00","9,482,759","21,860,778","231 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-DO","MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPC_EVENINGME","Clicks","","$ 1,998.52","1,667","3,968","238 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_MASTERBRAND_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","Impressions","","$ 600.00","600,000","1,483,770","247 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-DO","MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPM_EVENINGME","Impressions","","$ 2,248.27","500,000","1,255,978","251 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 6,334.00","4,975,000","12,797,176","257 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Youtube-MX","MCMMX_2021_MEX_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPM_FAMILYBREAKFAST","Impressions","","$ 66,839.69","32,710,174","88,882,050","272 %","≥ 110%"
